"Maize (New)","Rice Local (Perfumed)","Rice Local (Non-perfumed)","Rice Imported (Perfumed)","Rice Imported (Non-perfume","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"83.00","128.00","91.00","170.00","106.00","N/A","156.00","155.00","58.00","290.00","83.00","9.00","11.00","46.00","227.00","78.00","293.00","313.00","316.00","272.00","N/A","38.00","10.00","9.00","ACCRA",2012-11-17
"100.00","N/A","N/A","180.00","N/A","N/A","130.00","130.00","75.00","400.00","160.00","7.00","10.00","94.00","300.00","150.00","400.00","320.00","250.00","233.00","70.00","50.00","14.00","8.00","TEMA",2012-11-17
"83.00","130.00","120.00","160.00","120.00","90.00","180.00","150.00","60.00","280.00","90.00","10.00","16.00","44.00","N/A","160.00","220.00","310.00","260.00","290.00","45.00","40.00","10.00","8.50","SEKTDI",2012-11-17
"58.00","N/A","N/A","150.00","100.00","N/A","130.00","130.00","45.00","200.00","80.00","10.00","11.00","60.00","300.00","80.00","200.00","300.00","300.00","320.00","40.00","40.00","10.00","8.00","KDUA",2012-11-17
" 96.0","100.0"," 85.0","160.0","100.0"," 90.0","150.0","160.0"," 40.0","280.0","200.0"," 10.0"," 12.0"," 37.0","140.0","100.0","180.0","320.0","220.0","250.0"," 20.0"," 25.0","  8.0","  8.5","CCOAST",2012-11-17
" 93.0","100.0"," 85.0","175.0","100.0"," 87.0","155.0","170.0"," 23.0","240.0","140.0","  4.5","  8.4"," 39.0","120.0"," 50.0","240.0","300.0","220.0","250.0"," 28.0"," 24.0","  7.0","  8.7","MKESSIM",2012-11-17
" 80"," 73"," 65","160","120","150","140","110"," 30","250"," 50"," 10"," 20"," 30","160","120","140","350","210","200"," 30"," 45","  5","  7","KUMASI",2012-11-17
"50.00","75.00","100.00","140.00","108.00","150.00","150.00","100.00","25.00","220.00","200.00","8.00","10.00","24.00","100.00","30.00","150.00","320.00","280.00","280.00","27.00","N/A","17.00","7.50","EJURA",2012-11-17
"100.0"," 50.0"," 50.0","120.0"," 87.0","100.0","175.0","130.0"," 40.0","210.0","100.0","  8.0"," 16.0"," 30.0","100.0"," 80.0","230.0","360.0","300.0","210.0"," 10.0"," 30.0","  7.0","  8.5","OBUASI",2012-11-17
" 56.0"," 65.0"," 65.0","170.0","106.0"," 80.0","140.0","110.0"," 60.0","170.0","135.0","  4.5","  6.0"," 62.0","110.0"," 20.0","180.0","400.0","210.0","220.0"," 35.0"," 50.0","  5.0","  7.0","SUNYANI",2012-11-17
" 46"," 75"," 75","160","115"," 60","200","120"," 30","200","100"," 11"," 12"," 36","140"," 40"," 63","170","160","210"," 25"," 35","  5","  8","TMAN",2012-11-17
"91.00","120.00","70.00","140.00","85.00","90.00","N/A","131.00","45.00","220.00","N/A","7.00","N/A","72.00","256.00","N/A","N/A","N/A","381.00","246.00","N/A","N/A","8.00","9.00","HO",2012-11-17
"48.00","72.00","34.00","160.00","120.00","55.00","180.00","100.00","60.00","100.00","N/A","10.00","15.00","43.00","112.00","20.00","80.00","330.00","180.00","200.00","N/A","N/A","10.00","9.00","TAMALE",2012-11-17
"50.00","90.00","70.00","110.00","90.00","55.00","150.00","70.00","N/A","200.00","N/A","8.00","10.00","30.00","N/A","N/A","180.00","200.00","N/A","N/A","N/A","N/A","N/A","8.00","BOLGA",2012-11-17
"71.00","89.00","N/A","170.00","80.00","80.00","143.00","101.00","50.00","120.00","N/A","20.00","N/A","57.00","320.00","63.00","23.00","350.00","195.00","188.00","N/A","N/A","20.00","8.00","WA",2012-11-17
